model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
clogit,1,5,10,0.3,3,1,1,430,0.011747256394585263,0.303414761981928,0.6337209352698687,0.6558139534883721,1.1235106935521577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,5,10,0.3,3,1,1,430,-0.2259070308122066,0.06576047477513618,0.47711163644913207,0.4372093023255814,0.6288865742452616,1155.345006333114,0.22937367724867724,0.23868915343915345,0.014980158730158729,0.21565806878306878,0.22355621693121694,0.038820105820105824,0.0057929894179894175,0.005101190476190476,0.01110515873015873,0.016923280423280423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART-avg,1,5,10,0.3,3,1,1,430,-0.2259070308122066,0.06576047477513618,0.551992789287522,0.18372093023255814,0.24459514150480355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,1,5,20,0.3,3,1,1,429,-0.0764535704634291,0.27673526036279017,0.7246837944945465,0.675990675990676,1.0856624614936112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,1,5,20,0.3,3,1,1,429,-0.3706114128468331,-0.017422582020613777,0.5602005511739726,0.5104895104895105,0.7714992991075564,1118.9223224168975,0.009154761904761905,0.11792340067340068,0.030441317941317943,0.19252861952861952,0.19220785233285234,0.0020132275132275133,0.0036726190476190474,0.0038445767195767195,0.003566197691197691,0.001628968253968254,0.001777116402116402,0.002701058201058201,0.19786459836459835,0.0032784992784992786,0.012179954304954305,0.004148809523809523,0.002466931216931217,0.011892857142857143,0.010160714285714285,0.19654791967291968
CL-BART-avg,1,5,20,0.3,3,1,1,429,-0.3706114128468331,-0.017422582020613794,0.6326248798338564,0.12121212121212122,0.2426905188340983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
