model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
clogit,61,50,20,0.3,3,1,1,4342,-0.09009058440665507,0.205633707945643,0.6503801431283952,0.3433901427913404,0.34176497351045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,61,50,20,0.3,3,1,1,4342,-0.2909740378552381,0.0047502544970599355,0.2756283640579341,0.8995854444956242,0.7368527338960538,12012.216232669445,0.06436762747804078,0.08249642937384231,0.10271840376922604,0.07681132609554159,0.09560106223130832,0.03167404996825086,0.0217097478944747,0.049898760478972015,0.06953417806695684,0.029294247829701896,0.03758509799589562,0.029334679941246878,0.031718394399426066,0.035859913967525546,0.029418030491240886,0.03637181374598409,0.02941416670921336,0.03672232347827602,0.0433253030633679,0.06614444302150825
CL-BART-avg,61,50,20,0.3,3,1,1,4342,-0.2909740378552382,0.00475025449705991,0.5869580873552506,0.04675264854905573,0.07228835277172435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,62,5,20,0.3,3,1,1,4356,-0.037761077000582906,0.22363006711927058,0.6207011980717163,0.3838383838383838,0.34529045614266424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,62,5,20,0.3,3,1,1,4356,-0.2576584402902012,0.0037327038296522974,0.2613232836867956,0.5298438934802571,0.3272093328287989,11951.7232359601,0.16301023976023976,0.163503219003219,0.2678500666000666,0.22310364635364635,0.17342354867354867,8.452380952380952e-4,1.388888888888889e-4,0.0034676434676434676,3.7698412698412696e-4,3.412698412698413e-4,2.564102564102564e-4,3.5836385836385834e-4,0.0010073260073260074,8.293650793650794e-4,5.051892551892552e-4,3.5714285714285714e-4,3.6752136752136755e-4,2.579365079365079e-4,0,0
CL-BART-avg,62,5,20,0.3,3,1,1,4356,-0.2576584402902012,0.003732703829652293,0.5684503905171466,0.05853994490358127,0.07584024243812709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,62,10,20,0.3,3,1,1,4356,-0.037761077000582906,0.22363006711927058,0.6207011980717163,0.3838383838383838,0.34529045614266424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,62,10,20,0.3,3,1,1,4356,-0.2544155949891251,0.00697554913072841,0.2659821260632417,0.5872359963269054,0.3571032776183662,11944.166021941,0.176445825581081,0.09042040390666552,0.20004935749808042,0.22014076486522308,0.19501445344015003,0.0016692890442890442,0.002370322487969547,0.001569590132090132,0.004739417037211154,0.002441169769343144,0.004251096126096126,0.023405788655788656,0.001240530303030303,0.0015029345654345653,0.0016316738816738816,0.05398565860524065,0.002338432400932401,0.01302515726877182,0.001739862670009729,0.0020182717609188196
CL-BART-avg,62,10,20,0.3,3,1,1,4356,-0.2544155949891251,0.006975549130728391,0.5684809334418278,0.05234159779614325,0.06922853368569609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,62,25,20,0.3,3,1,1,4356,-0.037761077000582906,0.22363006711927058,0.6207011980717163,0.3838383838383838,0.34529045614266424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,62,25,20,0.3,3,1,1,4356,-0.2504511571060771,0.01093998701377636,0.24329822901857706,0.7835169880624426,0.4941618496653889,11938.44609808636,0.13265237361985052,0.13047786730230754,0.16966603036104302,0.1521019069897586,0.1762188744471568,0.0056798135477416,0.009895910774274473,0.008986604552322013,0.005718477049947189,0.03995135275507397,0.028550056155421485,0.005572901609544607,0.005857679057200358,0.03534338931096277,0.012367027022271953,0.013454245376194806,0.029964589715918248,0.012588644243768527,0.01480428612998924,0.010147969979252257
CL-BART-avg,62,25,20,0.3,3,1,1,4356,-0.2504511571060771,0.010939987013776352,0.5685433991500369,0.05716253443526171,0.0736097729465654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,62,50,20,0.3,3,1,1,4356,-0.037761077000582906,0.22363006711927058,0.6207011980717163,0.3838383838383838,0.34529045614266424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,62,50,20,0.3,3,1,1,4356,-0.24858688334488058,0.012804260774972891,0.24412300841466308,0.8925619834710744,0.6749950188466931,11970.657022891686,0.08074882689813762,0.07568703786420844,0.14266101152898766,0.08514335594739425,0.12678117030428274,0.02206002847999678,0.0195321595733562,0.0227937051255637,0.06187815932884929,0.05688866967218245,0.03392722630877661,0.02027128782022832,0.015981477593894962,0.02581661664963979,0.028265488176447376,0.028840179556307407,0.04513474094194299,0.02672202030648014,0.021047328659962942,0.05981950926336033
CL-BART-avg,62,50,20,0.3,3,1,1,4356,-0.24858688334488058,0.012804260774972901,0.5685823269283088,0.05831037649219467,0.07470719642590279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,63,5,20,0.3,3,1,1,4469,-0.06841900763463644,0.2577887066812914,0.716463479451711,0.33922577757887673,0.3276371829284948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,63,5,20,0.3,3,1,1,4469,-0.329054880702744,-0.00284716638681618,0.29343157218768584,0.5036921011411949,0.33949321722178666,12088.86915909576,0.1124931364931365,0.19337807562807563,0.21446335146335146,0.19300686350686352,0.26749151774151775,0.001618104118104118,0.0012538850038850038,0.0010782828282828282,3.0303030303030303e-4,0.0010398212898212898,0.0011616161616161615,0.0013131313131313131,7.196969696969697e-4,1.666666666666667e-4,0.0017002719502719503,0.0013434343434343434,6.837606837606838e-4,3.0555555555555555e-4,4.292929292929293e-4,0.00605050505050505
CL-BART-avg,63,5,20,0.3,3,1,1,4469,-0.329054880702744,-0.002847166386816204,0.6440711526476218,0.05034683374356679,0.07324536588561942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,63,10,20,0.3,3,1,1,4469,-0.06841900763463644,0.2577887066812914,0.716463479451711,0.33922577757887673,0.3276371829284948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,63,10,20,0.3,3,1,1,4469,-0.3162117973404018,0.009995916975526016,0.3044846497553539,0.5900648914746028,0.4120642385398194,12072.853325120512,0.1177562221919807,0.105764844016779,0.2483645391129911,0.23081517613793157,0.17885205306819085,0.014824005479384736,0.0017817265795206972,0.0017764161220043572,0.0014903711484593838,0.06965088965185715,0.001686994242141301,0.007640503423591659,0.0013651960784313725,0.0011175108932461872,0.0022145969498910674,0.0019693627450980394,0.006631224712107065,0.002284994553376906,0.0023680842219928906,0.001645288671023965
CL-BART-avg,63,10,20,0.3,3,1,1,4469,-0.3162117973404018,0.009995916975526044,0.644142423438003,0.05012307003803983,0.07659106713525504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,63,25,20,0.3,3,1,1,4469,-0.06841900763463644,0.2577887066812914,0.716463479451711,0.33922577757887673,0.3276371829284948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
