model,seed,num_trees,p,alpha_rho,beta_rho,alpha_sigma,beta_sigma,n,est,bias,rpehe,coverage,width,waic,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20
clogit,37,5,20,0.3,3,1,1,4684,-0.046420948877243365,0.30322584425529014,0.7347830220916837,0.3571733561058924,0.3204312393620643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,37,5,20,0.3,3,1,1,4684,-0.3009936764767321,0.048653116655801416,0.29537770156116666,0.5292485055508113,0.37696741711092985,12533.959786463096,0.12044634776987719,0.13971213998419882,0.2578747156982451,0.22084865270894682,0.16755258983935456,1.8518518518518518e-4,6.815087145969499e-4,0.050019004824151884,0.03200122549019608,7.04656862745098e-4,6.011710239651416e-4,1.96078431372549e-4,4.166666666666667e-4,3.0024509803921567e-4,8.823529411764706e-4,6.704598506069094e-4,2.0220588235294118e-4,2.947984749455338e-4,0.005906862745098039,5.031318082788671e-4
CL-BART-avg,37,5,20,0.3,3,1,1,4684,-0.3009936764767321,0.04865311665580144,0.6569210065973552,0.0631938514090521,0.0913522473924051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,37,10,20,0.3,3,1,1,4684,-0.046420948877243365,0.30322584425529014,0.7347830220916837,0.3571733561058924,0.3204312393620643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,37,10,20,0.3,3,1,1,4684,-0.29487122899432056,0.05477556413821293,0.29069090975648704,0.5019214346712212,0.3315518357543377,12512.857325871604,0.15309891864671277,0.11316243315508022,0.27713626691935517,0.1494533681188093,0.1989914256495139,6.75595238095238e-4,5.565476190476191e-4,7.879273504273504e-4,5.565476190476191e-4,0.002617934353228471,0.0030089285714285713,0.013061431623931623,2.3015873015873016e-4,0.00724526862026862,0.001388888888888889,0.07368609699124405,0.001246031746031746,9.871031746031746e-4,0.001248015873015873,8.611111111111111e-4
CL-BART-avg,37,10,20,0.3,3,1,1,4684,-0.29487122899432056,0.05477556413821297,0.6574028031391551,0.04782237403928266,0.06742612110561319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,37,25,20,0.3,3,1,1,4684,-0.046420948877243365,0.30322584425529014,0.7347830220916837,0.3571733561058924,0.3204312393620643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,37,25,20,0.3,3,1,1,4684,-0.2968825930784742,0.05276420005405933,0.28218752111504575,0.6368488471391973,0.45102572847835076,12445.46998941179,0.11760301004748445,0.10312439868661534,0.1907514257898065,0.1340967309554032,0.1983370512147087,0.00448314315018463,0.03235827516466371,0.0418675736477235,0.002971812342350982,0.001907422684424506,0.0034831325322607905,0.006077886411271568,0.0029355641174038426,0.01563742029403525,0.08677525693804104,0.007365397256422711,0.003158228370128184,0.003882506761295308,0.03953698281702811,0.003646780818747658
CL-BART-avg,37,25,20,0.3,3,1,1,4684,-0.2968825930784742,0.05276420005405931,0.6572382703068226,0.05550811272416738,0.0751051734270633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,37,50,20,0.3,3,1,1,4684,-0.046420948877243365,0.30322584425529014,0.7347830220916837,0.3571733561058924,0.3204312393620643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,37,50,20,0.3,3,1,1,4684,-0.29141308756588047,0.05823370556665306,0.28152752997404173,0.8008112724167379,0.6179944429969878,12481.591159547717,0.07487768491878631,0.0960512730560678,0.16115806337173033,0.12586292537930036,0.09001178772795829,0.025824899776708134,0.011161527184377042,0.03880450597220279,0.05034450497238201,0.019832213113754618,0.018820843208587016,0.018334238112227876,0.03151575405965463,0.04295640952212974,0.06479655162227436,0.03038190413008104,0.02690076883370975,0.016474759220483793,0.009831778581440749,0.046057607236143355
CL-BART-avg,37,50,20,0.3,3,1,1,4684,-0.29141308756588047,0.05823370556665305,0.6576999677760239,0.04782237403928266,0.06708597563586716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,38,5,20,0.3,3,1,1,4274,-0.06664087199780896,0.21032710031834095,0.6175011957274013,0.39728591483387926,0.3575215249054507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,38,5,20,0.3,3,1,1,4274,-0.260720719603613,0.016247252712536905,0.2742156986664461,0.5252690687880206,0.3108745149600723,11868.690829947236,0.09058519258519258,0.1085106005106005,0.2634701132201132,0.22870202020202018,0.2635381007881008,0.0010378510378510379,3.952991452991453e-4,0.00422008547008547,0.0021596459096459098,0.0010576923076923077,6.623931623931624e-4,8.245920745920746e-4,3.952991452991453e-4,0.005224358974358974,0.001217948717948718,9.31013431013431e-4,0,4.05982905982906e-4,9.887334887334887e-4,0.025673076923076923
CL-BART-avg,38,5,20,0.3,3,1,1,4274,-0.260720719603613,0.016247252712536922,0.5600413348182546,0.07019185774450164,0.08203201447678501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,38,10,20,0.3,3,1,1,4274,-0.06664087199780896,0.21032710031834095,0.6175011957274013,0.39728591483387926,0.3575215249054507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,38,10,20,0.3,3,1,1,4274,-0.26062263148646486,0.016345340829685043,0.26598431589465404,0.5753392606457651,0.34220334165147887,11866.739455983836,0.15212170509229334,0.09151242548301372,0.3145736338824574,0.18617855469693706,0.21600711502549738,0.002010336885336885,0.0011368631368631368,0.0032772990897990896,0.002010336885336885,0.0023600966027436617,0.00969861919126625,0.0027563270063270064,0.0025112942612942613,0.0011147741147741147,0.0029501454427925014,0.0013010531135531135,0.0016172924297924297,0.0038547008547008548,0.0013996836496836496,0.0016077431555372732
CL-BART-avg,38,10,20,0.3,3,1,1,4274,-0.26062263148646486,0.016345340829685046,0.560044189016497,0.06598034627983154,0.07437109955920607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,38,25,20,0.3,3,1,1,4274,-0.06664087199780896,0.21032710031834095,0.6175011957274013,0.39728591483387926,0.3575215249054507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL-BART,38,25,20,0.3,3,1,1,4274,-0.25989469783556385,0.017073274480586036,0.26670987499955134,0.6820308844174076,0.4468283774686676,11841.490284593867,0.1157342481836733,0.11148394510100045,0.2154165018802027,0.13573128446807162,0.15063352266623062,0.005941752184718376,0.0028802410445952645,0.00679616214138301,0.029526084784137124,0.033155288422285996,0.015594897674705972,0.04237106012349708,0.0636044330513898,0.010208253764514702,0.022440335876589074,0.006415156533116554,0.004044357619533731,0.005601064935942331,0.0036761766455859425,0.01874523289882636
CL-BART-avg,38,25,20,0.3,3,1,1,4274,-0.25989469783556385,0.017073274480586053,0.5600659070018427,0.06902199344875995,0.07972462395713459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clogit,38,50,20,0.3,3,1,1,4274,-0.06664087199780896,0.21032710031834095,0.6175011957274013,0.39728591483387926,0.3575215249054507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
